country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_naval_fleet_tonnage_mt,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Chad,37750,0,4345,7,3,6406 km,0 mt,0 Cu.M,0,0 km,0,706800000,0,2286000000,0,3856906,1050000000,0,0,6600000,0,0,0 Cu.M,0 Cu.M,15000 bbl,124000 bbl,5000,381872,0 Cu.M,0 Cu.M,1500000000 bbl,52895000000,0 km,0,40000 km,16,10,2,0,0,90,1284000 km,0,40,16,6873694,0,,19093595,44,13,8,7,12400 km
Chile,80000,0,7480,0,0,7801 km,8087000 mt,474000 Cu.M,40,6435 km,0,6800000000,0,235950000000,45,7521855,44403000000,8,0,10088000,39,0,6916000000 Cu.M,1200000000 Cu.M,404000 bbl,11000 bbl,50000,298634,1181000000 Cu.M,97976000000 Cu.M,150000000 bbl,596556000000,7282 km,40000,77801 km,9,48,18,4,5,386,756102 km,249,274,86,8959033,130,176065,18664652,379,249,92,33,12290 km
China,2035000,3,152040,371,281,22457 km,5191000000 mt,4805000000 Cu.M,150,14500 km,50,303000000000,53,488114000000,1443,626864169,3456000000000,46,4,773880000,66,36,366160000000 Cu.M,225341000000 Cu.M,16189000 bbl,4984000 bbl,625000,19810606,157041000000 Cu.M,6654000000000 Cu.M,26023000000 bbl,33598000000000,150000 km,510000,5200000 km,2770,2940,105,61,9,5870,9596960 km,8314,3529,1007,764123366,841,3192411,1415043270,552,1400,401,287,27700 km
Colombia,429000,0,12780,24,0,6672 km,9720000 mt,52376000 Cu.M,158,3208 km,2,15800000000,0,108027000000,16,19190694,61898000000,9,0,26822000,14,0,11451000000 Cu.M,11290000000 Cu.M,374000 bbl,800000 bbl,150000,843002,4554000000 Cu.M,87782000000 Cu.M,2036000000 bbl,978024000000,2141 km,998000,206102 km,0,6,27,4,1,0,1138910 km,153,430,255,24298295,213,31090,49588357,661,110,72,82,24725 km
Croatia,14325,0,4874,0,0,2237 km,596000 mt,0 Cu.M,11,5835 km,0,2744000000,0,60500000000,12,1564594,3336000000,0,0,1733000,16,1,2502000000 Cu.M,741456000 Cu.M,70000 bbl,11000 bbl,2000,53952,0 Cu.M,24919000000 Cu.M,71000000 bbl,164825000000,2617 km,20100,26958 km,42,25,0,0,0,55,56594 km,384,67,37,2033557,30,,4150116,45,42,26,0,4714 km
Cuba,50000,0,7792,0,4,29 km,1000 mt,0 Cu.M,6,3735 km,1,3301500000,0,36372600000,11,4737328,10442000000,1,0,489000,34,4,659434000 Cu.M,659434000 Cu.M,118000 bbl,34000 bbl,1145000,142558,0 Cu.M,70792000000 Cu.M,124000000 bbl,81165000000,8367 km,40000,60000 km,200,140,0,0,0,194,110860 km,65,20,13,5921661,19,,10966038,120,364,3,4,240 km
Czechia,30334,0,6275,16,4,2046 km,33239000 mt,31946000 Cu.M,0,0 km,0,9174000000,0,232320000000,12,4129236,146281000000,0,0,5541000,0,0,7602000000 Cu.M,224725000 Cu.M,219000 bbl,4000 bbl,0,97541,3595000000 Cu.M,3964000000 Cu.M,15000000 bbl,521928000000,9548 km,4900,129418 km,16,53,2,0,0,20,78867 km,0,103,42,5093808,0,,10837890,252,0,21,10,664 km
Democratic Republic of the Congo,166580,0,7164,6,9,10481 km,304000 mt,0 Cu.M,16,37 km,0,960000000,0,7926000000,0,31389623,3898125000,0,0,38546000,3,0,380000 Cu.M,380000 Cu.M,35000 bbl,19000 bbl,10000,2538867,987999000 Cu.M,991090000 Cu.M,180000000 bbl,164367000000,4007 km,30800,152373 km,81,16,0,0,0,212,2344858 km,24,56,38,39237029,16,,115403027,273,125,2,10,15000 km
Denmark,21000,0,5930,19,0,140 km,1135000 mt,0 Cu.M,9,7314 km,0,14250000000,0,611050000000,26,2126436,108405000000,9,0,3210000,69,6,2208000000 Cu.M,1879000000 Cu.M,151000 bbl,63000 bbl,51000,77651,0 Cu.M,29534000000 Cu.M,441000000 bbl,440558000000,2682 km,12000,73591 km,8,19,3,0,0,44,43094 km,715,122,34,2628180,50,121180,5973136,102,0,36,4,400 km
Dominican Republic,89000,0,930,8,0,376 km,2356000 mt,0 Cu.M,14,1288 km,0,903000000,0,35044000000,0,4034315,13471000000,0,0,5413000,17,0,2440000000 Cu.M,0 Cu.M,146000 bbl,0 bbl,30000,97343,0 Cu.M,0 Cu.M,0 bbl,276884000000,496 km,189000,19705 km,0,0,1,0,0,6,48320 km,40,80,49,4975294,34,,10815857,32,14,17,11,0 km
