Country_Code,Country_Name,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
NTH,Netherlands,17772378,7997570,"6,486,918",195496,44245,8510,5000,130,0,38,4,21,0,0,67,16,18,6689,46,0,4,140,147606.0,0,0,3,0,6,0,76,3,31791150000,5257949730000,1276000000000,79129000000,44,10315000,18,1187,3055,"139,027                        						
							km",70000,840000,137747000,17774000000.0,33243000000.0,132608000000.0,1761000.0,12796000,3247000000.0,41543,451,1053,6237
MYA,Myanmar,57527139,30489384,"21,975,367",1035489,228000,19000,55000,331,70,20,33,120,5,0,86,9,1040,11576,225,1680,1520,239,89240.0,0,0,3,0,6,3,146,2,2815031361,8748000000,287559000000,8590400000,74,22742000,7,101,5031,"157,000                        						
							km",7000,122000,139000000,16780000000.0,3788000000.0,637129000000.0,1031000.0,907000,252000000.0,676578,1930,6522,12800
MEX,Mexico,130739927,61447766,"49,811,912",2222579,387000,98653,120000,424,2,32,40,175,25,0,173,0,0,23548,35,0,0,164,,0,0,0,0,1,3,142,0,9100000000,306308000000,2883000000000,232035000000,1580,60959000,35,674,23389,"704,884                        						
							km",2101000,1741000,5786000000,31422000000.0,90566000000.0,180322000000.0,6296000.0,15132000,1160000000.0,1964375,9330,4389,2900
BNG,Bangladesh,168697184,82661620,"66,129,296",3205246,204000,0,6800000,212,41,0,17,83,4,0,67,0,320,11584,36,487,103,121,75280.0,0,0,2,0,7,6,61,5,3340000000,58020000000,1473000000000,21395000000,17,77355000,2,558,2460,"369,105                        						
							km",13000,263000,28000000,24620000000.0,30384000000.0,126293000000.0,767000.0,14050000,3260000000.0,148460,580,4413,8370
POR,Portugal,10639726,5319863,"4,096,295",127677,25000,23500,23300,128,28,5,20,23,16,4,36,0,34,10419,23,54,0,128,42755.0,0,0,2,0,5,2,71,0,6760000000,530000000000,556942000000,55160000000,136,5332100,36,1158,3622,"136,635                        						
							km",12932,200000,22440000,0.0,3700000000.0,72000000000.0,0.0,0,40000000.0,92090,1793,1224,764
NOR,Norway,5509733,2203893,"1,807,192",71627,33440,20100,40500,109,0,43,4,23,5,0,34,0,36,11441,28,0,0,48,66022.0,0,0,6,0,4,6,20,5,11189483200,787758400000,507680000000,81242000000,146,3042000,141,1720,3848,"95,120                        						
							km",2020000,229000,8122200000,123727000000.0,4548000000.0,1544455000000.0,120000.0,1096000,2000000.0,323802,25148,2566,1577
SAF,South Africa,60442647,27803618,"14,989,776",1027525,68731,29350,50000,181,2,0,11,81,0,0,87,10,248,23024,52,434,201,63,43881.0,0,0,3,0,4,0,42,4,2877000000,93879000000,870420000000,65435000000,573,27766000,8,110,30400,"750,000                        						
							km",88000,609000,15000000,59128000.0,4487000000.0,0.0,239712000.0,176095000,9893000000.0,1219090,2798,5244,0
PHL,Philippines,118277063,50859137,"41,751,803",2128987,160000,1500000,35000,204,0,17,23,23,11,0,130,6,18,20551,12,296,0,127,84578.0,0,0,0,0,4,1,60,0,6571641011,63241000000,1202000000000,106195000000,256,50979000,70,2203,77,"216,387                        						
							km",10000,457000,138500000,2251000000.0,2251000000.0,98543000000.0,14457000.0,42859000,361000000.0,300000,36289,0,3219
MLY,Malaysia,34564810,16245461,"13,480,276",553037,113000,51600,100000,132,25,11,15,31,6,4,45,0,48,15415,0,196,36,100,67735.0,0,0,2,0,2,4,72,4,5100000000,8748000000,1212000000000,116229000000,100,18264000,35,1750,1851,"144,403                        						
							km",582000,672000,3600000000,75456000000.0,42499000000.0,1189000000000.0,4476000.0,35741000,226000000.0,329847,4675,2742,7200
COL,Colombia,49588357,24298295,"19,190,694",843002,429000,998000,150000,430,16,24,82,72,27,1,255,0,0,12780,6,110,0,213,31090.0,0,0,4,0,9,2,158,0,15800000000,108027000000,978024000000,61898000000,661,26822000,14,153,2141,"206,102                        						
							km",800000,374000,2036000000,11290000000.0,11451000000.0,87782000000.0,52376000.0,9720000,4554000000.0,1138910,3208,6672,24725
