country,power_index_rank,power_index_score,purchasing_power_parity,foreign_exchange/gold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_(usable),total_population,available_manpower,fit-for-service,reaching_mil_age_annually,tot_mil._personnel_(est.),active_personnel,reserve_personnel,paramilitary,air_force_personnel*,army_personnel*,navy_personnel*,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_(fixed-wing),trainers,special-mission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,self-propelled_artillery,towed_artillery,mlrs_(rocket_artillery),total_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,nat.gas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports_/_trade_terminals,airports,roadway_coverage,railway_coverage,total_tonnage
2026Argentina Military Strength,32,0.5983,29,59,97,96,8,88,126,14,34,32,29,34,"140,370",52,79,32,36,43,31,"696,017",41,48,37,28,38,19,15,37,145,36,32,60,51,61,52,145,145,9,145,11,15,53,145,22,103,"+58,000 bbl",30,17,92,"-2,948,000,000 cu.m",32,61,61,"-1,665,000 mt",47,12,33,50,19,10,18,16,25
2026Panama Military Strength,135,3.5011,79,90,93,130,112,70,15,69,118,120,126,123,"96,300",118,145,17,97,58,145,"52,966",88,145,145,38,145,29,145,74,145,145,115,145,145,145,64,145,145,145,145,145,145,52,145,145,65,"-131,000 bbl",145,145,20,"-389,611,000 cu.m",145,145,42,"-863,000 mt",145,22,116,3,35,57,125,119,
2026Bosnia and Herzegovina Military Strength,133,3.1291,110,81,130,27,120,1,31,63,122,110,107,125,"26,000",114,83,145,77,89,145,"48,760",101,145,145,145,145,145,145,81,145,88,128,145,38,63,145,145,145,145,145,145,145,145,145,145,25,"-34,000 bbl",145,145,15,"-225,824,000 cu.m",145,29,86,"+7,000 mt",30,18,129,145,46,93,131,90,
2026Montenegro Military Strength,128,2.9782,137,124,133,20,139,15,14,145,143,143,143,142,"7,850",141,145,44,98,125,77,"3,554",103,145,145,145,145,145,145,86,145,145,126,145,93,70,65,145,145,145,145,145,145,52,145,145,5,"-9,000 bbl",145,145,1,0 cu.m,145,50,55,"+204,000 mt",54,11,144,104,43,105,128,117,
2026Turkmenistan Military Strength,78,1.7459,86,65,89,22,53,55,83,55,108,105,103,93,"40,000",87,145,48,71,78,67,"107,761",69,49,24,46,66,145,145,73,35,27,50,38,30,30,69,145,145,145,145,145,145,50,145,31,68,"+120,000 bbl",39,11,89,"+44,911,000,000 cu.m",5,145,1,0 mt,47,55,115,78,145,91,82,37,
2026China Military Strength,3,0.0919,1,1,2,121,4,98,132,6,1,1,1,2,"3,170,000",1,17,4,2,2,2,"19,560,509",3,2,3,3,4,4,8,3,3,1,3,2,9,1,1,2,2,2,1,2,2,6,2,5,128,"-11,205,000 bbl",13,4,110,"-140,819,000,000 cu.m",7,1,119,"-386,000,000 mt",3,22,1,2,11,15,3,2,2
2026Greece Military Strength,30,0.5484,53,70,43,124,92,97,23,95,86,84,77,95,"419,050",40,31,21,16,29,21,"103,290",20,16,145,34,32,24,145,14,24,16,16,11,15,31,15,145,145,145,5,145,10,32,16,75,89,"-303,000 bbl",79,91,56,"-5,169,716,000 cu.m",91,31,84,"+378,000 mt",26,16,90,16,12,55,44,68,17
2026Bhutan Military Strength,145,5.7991,140,130,143,14,127,999,24,145,140,140,140,141,"66,000",119,56,145,145,61,145,"4,367",110,145,145,145,145,145,145,94,145,145,143,145,145,145,,,,,,,,,,145,2,"-4,000 bbl",145,145,1,0 cu.m,145,75,25,"-101,000 mt",145,13,140,145,145,106,124,145,
2026Spain Military Strength,18,0.3247,15,29,16,135,52,86,49,62,32,30,28,62,"224,305",45,69,18,28,55,27,"326,785",26,17,36,15,25,24,145,27,28,46,20,36,49,145,16,4,145,145,8,145,15,12,13,53,112,"-1,278,000 bbl",53,81,84,"-32,791,991,000 cu.m",88,57,79,"-6,108,000 mt",40,6,28,35,15,19,35,19,13
2026Azerbaijan Military Strength,60,1.1991,72,74,58,54,107,37,59,145,83,80,78,78,"449,000",43,26,34,35,41,62,"157,737",53,54,29,47,46,145,145,38,29,14,45,29,17,9,58,145,145,145,145,145,13,49,15,27,55,"+509,000 bbl",19,22,68,"+22,416,000,000 cu.m",20,145,8,"-6,000 mt",145,12,84,45,145,84,104,60,
