country,active_personnel,aircraft_carriers,aircraft_total,attack_helicopters,available_manpower,defense_budget,destroyers,fighters,foreign_exchange_gold,frigates,mlrs_rocket_artillery,natural_gas_consumption,natural_gas_production,oil_consumption,oil_production,oil_proven_reserves,power_index_rank,power_index_score,purchasing_power_parity,reserve_personnel,self_propelled_artillery,submarines,tanks,total_assets,total_population
Suriname,140.0,145.0,109.0,145.0,144.0,139.0,145.0,145.0,125.0,145.0,145.0,5.0,89.0,11.0,64.0,61.0,142.0,4.0538,139.0,145.0,145.0,145.0,145.0,68.0,142.0
Sweden,99.0,145.0,49.0,145.0,88.0,27.0,145.0,26.0,40.0,145.0,145.0,29.0,145.0,86.0,69.0,145.0,26.0,0.4834,41.0,62.0,58.0,13.0,73.0,9.0,85.0
Switzerland,39.0,145.0,57.0,145.0,93.0,41.0,145.0,40.0,4.0,145.0,145.0,47.0,145.0,74.0,82.0,145.0,46.0,0.8396,38.0,145.0,31.0,145.0,70.0,53.0,95.0
Syria,55.0,145.0,66.0,38.0,45.0,135.0,145.0,34.0,141.0,145.0,145.0,46.0,50.0,53.0,49.0,29.0,87.0,1.8861,94.0,145.0,41.0,145.0,65.0,72.0,57.0
Taiwan,28.0,145.0,13.0,8.0,50.0,21.0,8.0,8.0,7.0,2.0,24.0,77.0,75.0,107.0,79.0,83.0,22.0,0.3927,19.0,5.0,13.0,13.0,20.0,39.0,58.0
Tajikistan,38.0,145.0,93.0,39.0,86.0,119.0,145.0,145.0,115.0,145.0,63.0,11.0,86.0,22.0,82.0,78.0,100.0,2.1749,123.0,14.0,71.0,145.0,90.0,53.0,87.0
Tanzania,100.0,145.0,88.0,145.0,52.0,87.0,145.0,55.0,98.0,145.0,45.0,34.0,56.0,45.0,145.0,145.0,89.0,1.9111,68.0,145.0,145.0,145.0,60.0,72.0,23.0
Thailand,19.0,145.0,22.0,38.0,20.0,52.0,145.0,26.0,17.0,12.0,67.0,95.0,25.0,113.0,30.0,47.0,24.0,0.4458,22.0,34.0,42.0,145.0,25.0,7.0,20.0
Tunisia,60.0,145.0,54.0,145.0,74.0,76.0,145.0,56.0,82.0,18.0,145.0,55.0,59.0,54.0,56.0,44.0,79.0,1.7823,81.0,145.0,145.0,145.0,69.0,54.0,77.0
Turkiye,10.0,145.0,8.0,6.0,17.0,12.0,145.0,14.0,23.0,4.0,22.0,97.0,66.0,109.0,44.0,46.0,9.0,0.1975,12.0,22.0,7.0,8.0,9.0,14.0,18.0
Turkmenistan,87.0,145.0,69.0,35.0,105.0,89.0,145.0,49.0,65.0,145.0,30.0,89.0,11.0,68.0,31.0,39.0,78.0,1.7459,86.0,145.0,38.0,145.0,27.0,69.0,108.0
Uganda,76.0,145.0,79.0,39.0,39.0,84.0,145.0,60.0,112.0,145.0,70.0,1.0,145.0,32.0,145.0,29.0,107.0,2.3252,83.0,145.0,68.0,145.0,52.0,53.0,31.0
Ukraine,6.0,145.0,32.0,17.0,36.0,14.0,145.0,24.0,50.0,145.0,18.0,79.0,31.0,73.0,77.0,45.0,20.0,0.3691,46.0,2.0,8.0,145.0,19.0,17.0,43.0
United Arab Emirates,67.0,145.0,18.0,22.0,76.0,24.0,145.0,23.0,16.0,145.0,52.0,101.0,15.0,106.0,8.0,7.0,54.0,1.0188,37.0,41.0,24.0,145.0,38.0,40.0,88.0
United Kingdom,41.0,3.0,15.0,13.0,21.0,6.0,7.0,21.0,21.0,12.0,54.0,103.0,20.0,114.0,25.0,29.0,8.0,0.1881,10.0,64.0,65.0,9.0,49.0,32.0,21.0
United States,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,145.0,3.0,112.0,1.0,129.0,1.0,10.0,1.0,0.0741,2.0,12.0,4.0,1.0,4.0,3.0,3.0
Uruguay,106.0,145.0,85.0,145.0,127.0,78.0,145.0,145.0,69.0,145.0,75.0,12.0,145.0,34.0,81.0,145.0,97.0,2.1537,92.0,145.0,64.0,145.0,79.0,69.0,124.0
Uzbekistan,46.0,999.0,53.0,20.0,34.0,49.0,999.0,45.0,53.0,999.0,35.0,91.0,16.0,56.0,50.0,40.0,53.0,0.9908,56.0,145.0,23.0,999.0,30.0,999.0,42.0
Venezuela,51.0,145.0,43.0,35.0,44.0,51.0,145.0,42.0,79.0,18.0,49.0,72.0,34.0,76.0,23.0,1.0,51.0,0.9106,90.0,82.0,41.0,14.0,50.0,53.0,49.0
Vietnam,11.0,145.0,38.0,145.0,12.0,35.0,145.0,31.0,33.0,10.0,8.0,61.0,42.0,97.0,35.0,23.0,23.0,0.4066,25.0,1.0,55.0,12.0,10.0,32.0,16.0
Yemen,90.0,145.0,52.0,31.0,51.0,124.0,145.0,28.0,132.0,145.0,59.0,14.0,70.0,38.0,63.0,27.0,98.0,2.1617,136.0,145.0,66.0,145.0,145.0,61.0,48.0
Zambia,122.0,145.0,73.0,145.0,68.0,126.0,145.0,145.0,116.0,145.0,51.0,1.0,145.0,25.0,145.0,145.0,111.0,2.4461,103.0,145.0,66.0,145.0,77.0,53.0,62.0
Zimbabwe,96.0,145.0,72.0,39.0,72.0,77.0,145.0,59.0,139.0,145.0,145.0,1.0,145.0,25.0,79.0,145.0,105.0,2.2801,114.0,145.0,145.0,145.0,81.0,53.0,71.0
