country,power_index_rank,power_index_score,purchasing_power_parity,foreign_exchange/gold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_(usable),total_population,available_manpower,fit-for-service,reaching_mil_age_annually,tot_mil._personnel_(est.),active_personnel,reserve_personnel,paramilitary,air_force_personnel*,army_personnel*,navy_personnel*,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_(fixed-wing),trainers,special-mission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,self-propelled_artillery,towed_artillery,mlrs_(rocket_artillery),total_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,nat.gas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports_/_trade_terminals,airports,roadway_coverage,railway_coverage,total_tonnage
2026Norway Military Strength,39.0,0.6679,50.0,35.0,32.0,128.0,66.0,101.0,63.0,53.0,112.0,115.0,110.0,110.0,94040.0,89.0,73.0,25.0,67.0,114.0,56.0,70723.0,65.0,145.0,15.0,47.0,56.0,26.0,145.0,66.0,145.0,91.0,54.0,56.0,145.0,145.0,50.0,145.0,145.0,145.0,15.0,11.0,12.0,46.0,14.0,12.0,81.0,1791000.0,17.0,8.0,54.0,119179000000.0,21.0,71.0,47.0,976000.0,77.0,2.0,103.0,14.0,5.0,33.0,54.0,49.0,36.0
2026Zambia Military Strength,111.0,2.4461,103.0,116.0,126.0,60.0,38.0,999.0,111.0,145.0,62.0,68.0,70.0,57.0,16350.0,122.0,145.0,53.0,66.0,103.0,145.0,369658.0,73.0,145.0,145.0,38.0,48.0,145.0,145.0,67.0,145.0,77.0,131.0,66.0,74.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,25.0,34000.0,145.0,145.0,1.0,0.0,145.0,49.0,56.0,10000.0,45.0,46.0,68.0,116.0,145.0,39.0,74.0,58.0,0.0
2026Nepal Military Strength,124.0,2.8037,82.0,76.0,121.0,30.0,90.0,999.0,72.0,145.0,50.0,46.0,44.0,28.0,195500.0,58.0,50.0,34.0,87.0,49.0,145.0,768237.0,100.0,145.0,145.0,44.0,145.0,145.0,145.0,86.0,145.0,145.0,123.0,145.0,91.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,42.0,71000.0,145.0,145.0,1.0,0.0,145.0,74.0,46.0,1082000.0,74.0,37.0,63.0,145.0,145.0,70.0,77.0,120.0,0.0
2026El Salvador Military Strength,129.0,2.9973,104.0,108.0,94.0,55.0,136.0,16.0,12.0,83.0,102.0,101.0,100.0,82.0,40000.0,104.0,145.0,34.0,78.0,96.0,67.0,143990.0,79.0,145.0,33.0,48.0,67.0,145.0,145.0,71.0,145.0,145.0,111.0,145.0,71.0,145.0,71.0,145.0,145.0,145.0,145.0,145.0,145.0,57.0,145.0,87.0,37.0,55997.0,145.0,145.0,2.0,226472.0,145.0,145.0,2.0,500.0,145.0,30.0,106.0,114.0,44.0,88.0,130.0,122.0,0.0
2026Iran Military Strength,16.0,0.3199,23.0,25.0,36.0,39.0,17.0,67.0,106.0,67.0,17.0,15.0,14.0,16.0,1180000.0,8.0,24.0,9.0,18.0,18.0,29.0,1396338.0,21.0,15.0,28.0,7.0,27.0,22.0,11.0,32.0,32.0,8.0,11.0,16.0,7.0,4.0,34.0,145.0,145.0,145.0,12.0,14.0,3.0,45.0,18.0,9.0,121.0,1697000.0,3.0,3.0,109.0,18390000000.0,2.0,47.0,63.0,823000.0,39.0,21.0,24.0,20.0,29.0,30.0,21.0,25.0,12.0
2026China Military Strength,3.0,0.0919,1.0,1.0,2.0,121.0,4.0,98.0,132.0,6.0,1.0,1.0,1.0,2.0,3170000.0,1.0,17.0,4.0,2.0,2.0,2.0,19560509.0,3.0,2.0,3.0,3.0,4.0,4.0,8.0,3.0,3.0,1.0,3.0,2.0,9.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,2.0,5.0,128.0,11205000.0,13.0,4.0,110.0,140819000000.0,7.0,1.0,119.0,386000000.0,3.0,22.0,1.0,2.0,11.0,15.0,3.0,2.0,2.0
2026Saudi Arabia Military Strength,25.0,0.4473,17.0,9.0,8.0,117.0,12.0,72.0,86.0,145.0,41.0,33.0,30.0,39.0,397000.0,26.0,145.0,11.0,24.0,59.0,36.0,613412.0,11.0,7.0,8.0,16.0,11.0,17.0,2.0,15.0,20.0,21.0,33.0,17.0,23.0,15.0,58.0,145.0,145.0,145.0,12.0,8.0,145.0,56.0,16.0,2.0,125.0,7650000.0,2.0,9.0,107.0,0.0,6.0,145.0,21.0,66000.0,145.0,1.0,39.0,39.0,31.0,52.0,22.0,35.0,38.0
2026Kyrgyzstan Military Strength,109.0,2.3969,122.0,101.0,110.0,19.0,82.0,999.0,92.0,77.0,104.0,102.0,101.0,91.0,78000.0,107.0,145.0,21.0,97.0,97.0,145.0,115790.0,106.0,145.0,145.0,145.0,145.0,145.0,145.0,89.0,43.0,56.0,86.0,55.0,50.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,22.0,25000.0,68.0,82.0,22.0,406974000.0,81.0,40.0,67.0,527000.0,9.0,12.0,100.0,145.0,145.0,87.0,95.0,112.0,0.0
2026Myanmar Military Strength,35.0,0.6265,62.0,85.0,68.0,46.0,40.0,60.0,113.0,11.0,27.0,22.0,24.0,21.0,302000.0,29.0,76.0,21.0,27.0,24.0,21.0,1022417.0,33.0,27.0,29.0,23.0,21.0,26.0,145.0,39.0,36.0,23.0,52.0,20.0,8.0,5.0,11.0,145.0,145.0,145.0,13.0,14.0,14.0,7.0,17.0,73.0,62.0,115000.0,54.0,35.0,48.0,12992000000.0,29.0,60.0,43.0,124000.0,59.0,34.0,32.0,68.0,40.0,59.0,33.0,39.0,31.0
2026New Zealand Military Strength,90.0,1.9258,66.0,62.0,74.0,114.0,74.0,99.0,999.0,145.0,116.0,114.0,114.0,116.0,13650.0,128.0,88.0,56.0,72.0,118.0,63.0,61153.0,82.0,145.0,145.0,44.0,64.0,25.0,145.0,76.0,145.0,145.0,102.0,145.0,84.0,145.0,75.0,145.0,145.0,145.0,17.0,145.0,145.0,61.0,145.0,67.0,69.0,142000.0,67.0,47.0,49.0,49000000.0,60.0,41.0,62.0,315000.0,16.0,5.0,101.0,64.0,26.0,28.0,55.0,42.0,0.0
2026Slovakia Military Strength,69.0,1.3911,74.0,71.0,66.0,103.0,121.0,999.0,36.0,90.0,111.0,104.0,102.0,117.0,20982.0,112.0,145.0,145.0,69.0,98.0,145.0,60427.0,81.0,59.0,145.0,44.0,66.0,30.0,145.0,75.0,145.0,88.0,78.0,54.0,94.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,48.0,83000.0,80.0,79.0,9.0,7868000.0,71.0,45.0,75.0,3751000.0,73.0,11.0,110.0,145.0,145.0,41.0,87.0,53.0,0.0
2026Senegal Military Strength,126.0,2.8925,100.0,131.0,105.0,58.0,83.0,30.0,65.0,62.0,65.0,69.0,74.0,54.0,17000.0,117.0,145.0,145.0,87.0,100.0,78.0,390801.0,87.0,145.0,145.0,46.0,57.0,30.0,145.0,78.0,40.0,145.0,113.0,145.0,87.0,74.0,79.0,145.0,145.0,145.0,145.0,145.0,145.0,61.0,145.0,71.0,39.0,56000.0,145.0,78.0,8.0,148000.0,145.0,145.0,28.0,138000.0,145.0,33.0,76.0,95.0,41.0,93.0,115.0,92.0,0.0
2026Indonesia Military Strength,13.0,0.2582,8.0,22.0,33.0,111.0,14.0,106.0,71.0,8.0,4.0,4.0,4.0,4.0,1055500.0,15.0,20.0,8.0,23.0,20.0,11.0,4726134.0,24.0,39.0,21.0,10.0,22.0,18.0,16.0,22.0,30.0,42.0,24.0,25.0,33.0,46.0,5.0,145.0,145.0,145.0,9.0,4.0,13.0,4.0,10.0,20.0,117.0,780000.0,31.0,14.0,86.0,21349000000.0,23.0,3.0,115.0,502294000.0,7.0,29.0,4.0,1.0,6.0,14.0,13.0,27.0,11.0
2026Albania Military Strength,77.0,1.7258,121.0,91.0,107.0,28.0,132.0,19.0,16.0,93.0,127.0,128.0,123.0,115.0,8000.0,134.0,145.0,55.0,94.0,123.0,74.0,61357.0,97.0,145.0,145.0,50.0,145.0,145.0,145.0,78.0,145.0,145.0,116.0,67.0,145.0,20.0,57.0,145.0,145.0,145.0,145.0,145.0,145.0,37.0,145.0,64.0,15.0,7000.0,53.0,80.0,7.0,0.0,80.0,66.0,32.0,218000.0,50.0,18.0,127.0,81.0,44.0,107.0,139.0,114.0,0.0
2026Russia Military Strength,2.0,0.0791,4.0,6.0,3.0,112.0,1.0,105.0,131.0,1.0,9.0,9.0,10.0,18.0,3570000.0,4.0,4.0,8.0,4.0,12.0,3.0,1251387.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,145.0,5.0,7.0,1.0,1.0,23.0,1.0,3.0,126.0,7016000.0,8.0,2.0,111.0,145591000000.0,1.0,5.0,116.0,240367000.0,2.0,9.0,9.0,8.0,10.0,8.0,5.0,3.0,3.0
2026Libya Military Strength,80.0,1.7872,98.0,32.0,88.0,21.0,16.0,56.0,87.0,145.0,98.0,94.0,88.0,88.0,132000.0,91.0,145.0,15.0,87.0,56.0,45.0,123561.0,71.0,56.0,47.0,39.0,47.0,145.0,145.0,75.0,41.0,83.0,106.0,60.0,82.0,62.0,78.0,145.0,145.0,145.0,18.0,145.0,145.0,63.0,145.0,17.0,77.0,1038000.0,9.0,38.0,63.0,2620000000.0,22.0,145.0,1.0,0.0,145.0,12.0,113.0,69.0,33.0,58.0,96.0,145.0,0.0
2026Bahrain Military Strength,75.0,1.6731,96.0,102.0,96.0,89.0,144.0,9.0,999.0,145.0,138.0,135.0,133.0,136.0,129900.0,113.0,44.0,52.0,81.0,39.0,76.0,17018.0,58.0,44.0,145.0,48.0,45.0,145.0,145.0,49.0,20.0,67.0,88.0,52.0,85.0,66.0,46.0,145.0,145.0,145.0,17.0,15.0,145.0,30.0,145.0,34.0,43.0,118000.0,51.0,32.0,73.0,81000000.0,52.0,145.0,1.0,0.0,145.0,1.0,135.0,54.0,43.0,107.0,137.0,145.0,0.0
2026Iceland Military Strength,134.0,3.4013,134.0,92.0,114.0,67.0,103.0,87.0,999.0,145.0,145.0,145.0,145.0,145.0,0.0,145.0,145.0,145.0,145.0,145.0,145.0,1797.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,138.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,13.0,19000.0,145.0,145.0,1.0,0.0,145.0,145.0,27.0,137000.0,145.0,1.0,143.0,93.0,17.0,55.0,122.0,145.0,0.0
2026France Military Strength,6.0,0.1798,9.0,15.0,7.0,143.0,43.0,85.0,81.0,18.0,22.0,23.0,22.0,31.0,457444.0,23.0,57.0,11.0,14.0,37.0,16.0,742626.0,10.0,12.0,145.0,5.0,18.0,6.0,4.0,8.0,11.0,32.0,6.0,37.0,145.0,72.0,18.0,4.0,3.0,6.0,14.0,145.0,10.0,44.0,4.0,45.0,116.0,1456000.0,65.0,85.0,87.0,36980868000.0,75.0,48.0,88.0,10413000.0,63.0,14.0,22.0,34.0,11.0,6.0,7.0,10.0,6.0
